Genus,Mono,N.obs,N.exp
Abeillia,TRUE,1,1
Abroscopus,TRUE,5,5
Aburria,TRUE,1,1
Acanthagenys,TRUE,1,1
Acanthidops,TRUE,1,1
Acanthis,TRUE,7,7
Acanthisitta,TRUE,1,1
Acanthiza,FALSE,14,13
Acanthorhynchus,TRUE,2,2
Acanthornis,TRUE,1,1
Accipiter,FALSE,187,60
Aceros,FALSE,18,6
Achaetops,TRUE,1,1
Acridotheres,FALSE,10,9
Acritillas,TRUE,1,1
Acrobatornis,TRUE,1,1
Acrocephalus,FALSE,197,81
Acropternis,TRUE,1,1
Acryllium,TRUE,1,1
Actenoides,TRUE,4,4
Actinodura,FALSE,25,8
Actitis,TRUE,2,2
Actophilornis,TRUE,1,1
Adelomyia,TRUE,1,1
Adelura,TRUE,1,1
Aechmophorus,TRUE,2,2
Aegithalos,FALSE,11,7
Aegithina,TRUE,3,3
Aegolius,TRUE,5,5
Aegotheles,TRUE,3,3
Aegypius,TRUE,1,1
Aepypodius,TRUE,2,2
Aerodramus,FALSE,18,16
Aeronautes,TRUE,2,2
Aethia,TRUE,4,4
Aethomyias,FALSE,6,4
Aethopyga,TRUE,15,15
Afropavo,TRUE,1,1
Afrotis,FALSE,9,2
Agamia,TRUE,1,1
Agapornis,TRUE,7,7
Agelaioides,TRUE,1,1
Agelaius,FALSE,55,11
Agelastes,FALSE,5,2
Agelasticus,FALSE,4,3
Aglaeactis,TRUE,3,3
Aglaiocercus,TRUE,2,2
Agriornis,TRUE,6,6
Aidemosyne,TRUE,1,1
Ailuroedus,TRUE,21,21
Aimophila,FALSE,160,11
Aix,TRUE,2,2
Alaemon,TRUE,1,1
Alauda,TRUE,5,5
Alaudala,FALSE,8,5
Alca,TRUE,1,1
Alcedo,FALSE,37,6
Alcippe,FALSE,601,29
Aleadryas,TRUE,5,5
Alectoris,TRUE,14,14
Alectroenas,FALSE,41,3
Alectrurus,FALSE,3,2
Alectura,TRUE,1,1
Alethe,FALSE,379,5
Alipiopsitta,TRUE,1,1
Alisterus,TRUE,4,4
Alle,TRUE,3,3
Allenia,TRUE,1,1
Alopecoenas,TRUE,1,1
Alophoixus,FALSE,60,11
Alopochelidon,TRUE,1,1
Alopochen,TRUE,1,1
Amadina,TRUE,2,2
Amalocichla,TRUE,4,4
Amandava,TRUE,3,3
Amaurolimnas,TRUE,1,1
Amaurornis,FALSE,101,4
Amaurospiza,FALSE,414,2
Amazilia,FALSE,43,30
Amazona,FALSE,398,18
Amazonetta,TRUE,1,1
Amblycercus,TRUE,3,3
Amblyornis,FALSE,7,5
Amblyospiza,TRUE,2,2
Amblyramphus,TRUE,1,1
Ammodramus,FALSE,147,7
Ammomanes,FALSE,8,4
Ammomanopsis,TRUE,1,1
Ammoperdix,TRUE,1,1
Ammospiza,TRUE,1,1
Ampeliceps,TRUE,1,1
Ampelioides,TRUE,1,1
Ampelion,TRUE,2,2
Amphilais,TRUE,1,1
Amphispiza,FALSE,3,2
Amytornis,TRUE,28,28
Anabacerthia,FALSE,4,3
Anabathmis,FALSE,75,3
Anabazenops,TRUE,2,2
Anairetes,FALSE,17,16
Anaplectes,TRUE,1,1
Anarhynchus,TRUE,1,1
Anas,FALSE,40,23
Anastomus,TRUE,1,1
Ancistrops,TRUE,1,1
Andigena,TRUE,6,6
Androdon,TRUE,1,1
Andropadus,FALSE,61,3
Anhima,TRUE,1,1
Anhinga,TRUE,6,6
Anisognathus,TRUE,6,6
Anodorhynchus,TRUE,2,2
Anomalopteryx,TRUE,1,1
Anomalospiza,TRUE,3,3
Anopetia,TRUE,1,1
Anorrhinus,FALSE,28,3
Anous,TRUE,4,4
Anser,TRUE,6,6
Anseranas,TRUE,1,1
Anthipes,TRUE,2,2
Anthobaphes,TRUE,1,1
Anthocephala,TRUE,1,1
Anthochaera,TRUE,5,5
Anthornis,TRUE,1,1
Anthoscopus,FALSE,1614,3
Anthracoceros,FALSE,8,6
Anthracothorax,FALSE,9,7
Anthreptes,FALSE,103,11
Anthus,FALSE,52,48
Antigone,FALSE,19,12
Antilophia,TRUE,2,2
Antrostomus,TRUE,8,8
Anumbius,TRUE,1,1
Anurolimnas,TRUE,1,1
Apalharpactes,TRUE,1,1
Apalis,TRUE,15,15
Apaloderma,TRUE,3,3
Apalopteron,TRUE,1,1
Aphanotriccus,TRUE,2,2
Aphantochroa,TRUE,1,1
Aphelocephala,TRUE,2,2
Aphelocoma,TRUE,28,28
Aphrastura,TRUE,5,5
Aphriza,TRUE,1,1
Aphrodroma,TRUE,1,1
Aplonis,TRUE,10,10
Aplopelia,TRUE,1,1
Aprosmictus,TRUE,2,2
Aptenodytes,TRUE,2,2
Apteryx,TRUE,7,7
Apus,TRUE,17,17
Aquila,FALSE,21,5
Ara,TRUE,5,5
Arachnothera,FALSE,121,15
Aramides,TRUE,4,4
Aramus,TRUE,1,1
Aratinga,TRUE,6,6
Arborophila,TRUE,11,11
