Sequence,TipLabel,Family2,Order2,Avibase.ID2,FamilyTotal.ClementFam,FamilyTotal.Freq,FamilyIncluded.Var1,FamilyIncluded.Freq,Completeness,synonym,notes
1,Struthio_camelus,Struthionidae,Struthioniformes,AVIBASE-2247CB05,Struthionidae,2,Struthionidae,1,0.50,,
2,Rhea_americana,Rheidae,Rheiformes,AVIBASE-00986B24,Rheidae,2,Rheidae,2,1.00,,
3,Rhea_pennata,Rheidae,Rheiformes,AVIBASE-590ADF92,Rheidae,2,Rheidae,2,1.00,,
4,Dromaius_novaehollandiae,Casuariidae,Casuariiformes,AVIBASE-FD2456D5,Casuariidae,1,Casuariidae,1,1.00,,
5,Casuarius_casuarius,Casuariidae,Casuariiformes,AVIBASE-8B9D93D8,Casuariidae,3,Casuariidae,2,0.67,,
6,Apteryx_owenii,Apterygidae,Apterygiformes,AVIBASE-187706CF,Apterygidae,5,Apterygidae,5,1.00,,
7,Apteryx_haastii,Apterygidae,Apterygiformes,AVIBASE-0D8B9E40,Apterygidae,5,Apterygidae,5,1.00,,
8,Apteryx_australis,Apterygidae,Apterygiformes,AVIBASE-6BA55EF0,Apterygidae,5,Apterygidae,5,1.00,,
9,Apteryx_mantelli,Apterygidae,Apterygiformes,AVIBASE-DB55CB8C,Apterygidae,5,Apterygidae,5,1.00,,
10,Apteryx_rowi,Apterygidae,Apterygiformes,AVIBASE-D433BDAB,Apterygidae,5,Apterygidae,5,1.00,,
11,Tinamotis_ingoufi,Tinamidae,Tinamiformes,AVIBASE-EC451D91,Tinamidae,46,Tinamidae,31,0.67,,
12,Tinamotis_pentlandii,Tinamidae,Tinamiformes,AVIBASE-0A51B426,Tinamidae,46,Tinamidae,31,0.67,,
13,Eudromia_formosa,Tinamidae,Tinamiformes,AVIBASE-9337459C,Tinamidae,46,Tinamidae,31,0.67,,
14,Eudromia_elegans,Tinamidae,Tinamiformes,AVIBASE-4E215E82,Tinamidae,46,Tinamidae,31,0.67,,
15,Nothura_boraquira,Tinamidae,Tinamiformes,AVIBASE-458340C7,Tinamidae,46,Tinamidae,31,0.67,,
16,Taoniscus_nanus,Tinamidae,Tinamiformes,AVIBASE-B62C4561,Tinamidae,46,Tinamidae,31,0.67,,
17,Nothura_maculosa,Tinamidae,Tinamiformes,AVIBASE-03C3DDFB,Tinamidae,46,Tinamidae,31,0.67,,
18,Nothura_minor,Tinamidae,Tinamiformes,AVIBASE-99D7964C,Tinamidae,46,Tinamidae,31,0.67,,
19,Nothura_darwinii,Tinamidae,Tinamiformes,AVIBASE-F7D16275,Tinamidae,46,Tinamidae,31,0.67,,
20,Nothoprocta_cinerascens,Tinamidae,Tinamiformes,AVIBASE-4C8BCEC2,Tinamidae,46,Tinamidae,31,0.67,,
21,Rhynchotus_rufescens,Tinamidae,Tinamiformes,AVIBASE-C141F60A,Tinamidae,46,Tinamidae,31,0.67,,
22,Rhynchotus_maculicollis,Tinamidae,Tinamiformes,AVIBASE-94AF5DC7,Tinamidae,46,Tinamidae,31,0.67,,
23,Nothoprocta_ornata,Tinamidae,Tinamiformes,AVIBASE-286A2FBA,Tinamidae,46,Tinamidae,31,0.67,,
24,Nothoprocta_pentlandii,Tinamidae,Tinamiformes,AVIBASE-7A66539A,Tinamidae,46,Tinamidae,31,0.67,,
25,Nothoprocta_perdicaria,Tinamidae,Tinamiformes,AVIBASE-F900EE88,Tinamidae,46,Tinamidae,31,0.67,,
26,Nothocercus_nigrocapillus,Tinamidae,Tinamiformes,AVIBASE-68E763AE,Tinamidae,46,Tinamidae,31,0.67,,
27,Nothocercus_julius,Tinamidae,Tinamiformes,AVIBASE-5FB99321,Tinamidae,46,Tinamidae,31,0.67,,
28,Crypturellus_cinereus,Tinamidae,Tinamiformes,AVIBASE-7C90F8DB,Tinamidae,46,Tinamidae,31,0.67,,
29,Tinamus_major,Tinamidae,Tinamiformes,AVIBASE-42D72AE1,Tinamidae,46,Tinamidae,31,0.67,,
30,Tinamus_guttatus,Tinamidae,Tinamiformes,AVIBASE-0480B7C9,Tinamidae,46,Tinamidae,31,0.67,,
31,Tinamus_solitarius,Tinamidae,Tinamiformes,AVIBASE-67E5E0FA,Tinamidae,46,Tinamidae,31,0.67,,
