GenBank_taxid,GenBank_name,GenBank_group,eBirdClements2022_Names,eBird_Group,BigBird_Names,BigBird_Notes,Clements_Order,Clements_Family,Reconciliation
2868200,Accipiter albogularis,species,Accipiter albogularis,species,Accipiter albogularis,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387787,Accipiter badius,species,Accipiter badius,species,Accipiter badius,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387788,Accipiter badius cenchroides,subspecies,Accipiter badius cenchroides,subspecies,Accipiter badius cenchroides,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
993363,Accipiter badius dussumieri,subspecies,Accipiter badius dussumieri,subspecies,Accipiter badius dussumieri,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
1028790,Accipiter badius poliopsis,subspecies,Accipiter badius poliopsis,subspecies,Accipiter badius poliopsis,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387789,Accipiter badius polyzonoides,subspecies,Accipiter badius polyzonoides,subspecies,Accipiter badius polyzonoides,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387790,Accipiter badius sphenurus,subspecies,Accipiter badius sphenurus,subspecies,Accipiter badius sphenurus,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
321116,Accipiter bicolor,species,Accipiter bicolor,species,Accipiter bicolor,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2884257,Accipiter brachyurus,species,Accipiter brachyurus,species,Accipiter brachyurus,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387791,Accipiter brevipes,species,Accipiter brevipes,species,Accipiter brevipes,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2884258,Accipiter butleri,species,Accipiter butleri,species,Accipiter butleri,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
993364,Accipiter castanilius,species,Accipiter castanilius,species,Accipiter castanilius,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2868201,Accipiter chilensis,species,Accipiter chilensis,species,Accipiter chilensis,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
518695,Accipiter cirrocephalus,species,Accipiter cirrocephalus,species,Accipiter cirrocephalus,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
518749,Accipiter cirrocephalus cirrocephalus,subspecies,Accipiter cirrocephalus cirrocephalus,subspecies,Accipiter cirrocephalus cirrocephalus,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
261198,Accipiter cooperii,species,Accipiter cooperii,species,Accipiter cooperii,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2900696,Accipiter erythrauchen,species,Accipiter erythrauchen,species,Accipiter erythrauchen,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387793,Accipiter erythropus,species,Accipiter erythropus,species,Accipiter erythropus,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
993365,Accipiter erythropus zenkeri,subspecies,Accipiter erythropus zenkeri,subspecies,Accipiter erythropus zenkeri,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387794,Accipiter fasciatus,species,Accipiter fasciatus,species,Accipiter fasciatus,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387795,Accipiter francesiae,species,Accipiter francesiae,species,Accipiter francesiae,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
993367,Accipiter francesiae brutus,subspecies,Accipiter francesiae brutus,subspecies,Accipiter francesiae brutus,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
993366,Accipiter francesiae francesiae,subspecies,Accipiter francesiae francesiae,subspecies,Accipiter francesiae francesiae,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
993368,Accipiter francesiae griveaudi,subspecies,Accipiter francesiae griveaudi,subspecies,Accipiter francesiae griveaudi,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
993369,Accipiter francesiae pusillus,subspecies,Accipiter francesiae pusillus,subspecies,Accipiter francesiae pusillus,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
8957,Accipiter gentilis,species,Accipiter gentilis,species,Accipiter gentilis,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387754,Accipiter gentilis albidus,subspecies,Accipiter gentilis albidus,subspecies,Accipiter gentilis albidus,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387756,Accipiter gentilis arrigonii,subspecies,Accipiter gentilis arrigonii,subspecies,Accipiter gentilis arrigonii,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387753,Accipiter gentilis atricapillus,subspecies,Accipiter gentilis atricapillus,subspecies,Accipiter gentilis atricapillus,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387757,Accipiter gentilis buteoides,subspecies,Accipiter gentilis buteoides,subspecies,Accipiter gentilis buteoides,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
335093,Accipiter gentilis fujiyamae,subspecies,Accipiter gentilis fujiyamae,subspecies,Accipiter gentilis fujiyamae,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387758,Accipiter gentilis gentilis,subspecies,Accipiter gentilis gentilis,subspecies,Accipiter gentilis gentilis,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387759,Accipiter gentilis laingi,subspecies,Accipiter gentilis laingi,subspecies,Accipiter gentilis laingi,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387760,Accipiter gentilis marginatus,subspecies,Accipiter gentilis marginatus,subspecies,Accipiter gentilis marginatus,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
258924,Accipiter gentilis schvedowi,subspecies,Accipiter gentilis schvedowi,subspecies,Accipiter gentilis schvedowi,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2900697,Accipiter griseiceps,species,Accipiter griseiceps,species,Accipiter griseiceps,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
258530,Accipiter gularis,species,Accipiter gularis,species,Accipiter gularis,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2723874,Accipiter gularis iwasakii,subspecies,Accipiter gularis iwasakii,subspecies,Accipiter gularis iwasakii,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
1037346,Accipiter gundlachi,species,Accipiter gundlachi,species,Accipiter gundlachi,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
1620263,Accipiter haplochrous,species,Accipiter haplochrous,species,Accipiter haplochrous,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2900698,Accipiter henicogrammus,species,Accipiter henicogrammus,species,Accipiter henicogrammus,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387797,Accipiter henstii,species,Accipiter henstii,species,Accipiter henstii,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2868207,Accipiter hiogaster,species,Accipiter hiogaster,species,Accipiter hiogaster,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2911132,Accipiter pulchellus,species,Accipiter hiogaster pulchellus,subspecies,Accipiter hiogaster pulchellus,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",lump
387802,Accipiter novaehollandiae rufoschistaceus,subspecies,Accipiter hiogaster rufoschistaceus,subspecies,Accipiter hiogaster rufoschistaceus,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",taxonomy
387798,Accipiter imitator,species,Accipiter imitator,species,Accipiter imitator,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2911130,Accipiter luteoschistaceus,species,Accipiter luteoschistaceus,species,Accipiter luteoschistaceus,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
993370,Accipiter madagascariensis,species,Accipiter madagascariensis,species,Accipiter madagascariensis,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387799,Accipiter melanochlamys,species,Accipiter melanochlamys,species,Accipiter melanochlamys,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387800,Accipiter melanoleucus,species,Accipiter melanoleucus,species,Accipiter melanoleucus,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2571263,Accipiter melanoleucus melanoleucus,subspecies,Accipiter melanoleucus melanoleucus,subspecies,Accipiter melanoleucus melanoleucus,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2571264,Accipiter melanoleucus temminckii,subspecies,Accipiter melanoleucus temminckii,subspecies,Accipiter melanoleucus temminckii,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2571053,Accipiter meyerianus,species,Accipiter meyerianus,species,Accipiter meyerianus,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
993371,Accipiter minullus,species,Accipiter minullus,species,Accipiter minullus,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2911131,Accipiter nanus,species,Accipiter nanus,species,Accipiter nanus,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
211598,Accipiter nisus,species,Accipiter nisus,species,Accipiter nisus,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
344232,Accipiter nisus nisosimilis,subspecies,Accipiter nisus nisosimilis,subspecies,Accipiter nisus nisosimilis,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
223782,Accipiter nisus nisus,subspecies,Accipiter nisus nisus,subspecies,Accipiter nisus nisus,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
993373,Accipiter nisus punicus,subspecies,Accipiter nisus punicus,subspecies,Accipiter nisus punicus,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
993372,Accipiter nisus wolterstorffi,subspecies,Accipiter nisus wolterstorffi,subspecies,Accipiter nisus wolterstorffi,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387801,Accipiter novaehollandiae,species,Accipiter novaehollandiae,species,Accipiter novaehollandiae,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387803,Accipiter ovampensis,species,Accipiter ovampensis,species,Accipiter ovampensis,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387804,Accipiter poliocephalus,species,Accipiter poliocephalus,species,Accipiter poliocephalus,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387805,Accipiter poliogaster,species,Accipiter poliogaster,species,Accipiter poliogaster,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2915014,Accipiter princeps,species,Accipiter princeps,species,Accipiter princeps,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2911133,Accipiter rhodogaster,species,Accipiter rhodogaster,species,Accipiter rhodogaster,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2219150,Accipiter rufitorques,species,Accipiter rufitorques,species,Accipiter rufitorques,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
518696,Accipiter rufiventris,species,Accipiter rufiventris,species,Accipiter rufiventris,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
518750,Accipiter rufiventris rufiventris,subspecies,Accipiter rufiventris rufiventris,group (monotypic),Accipiter rufiventris rufiventris,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387806,Accipiter soloensis,species,Accipiter soloensis,species,Accipiter soloensis,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
56330,Accipiter striatus,species,Accipiter striatus,species,Accipiter striatus,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
1620262,Accipiter chionogaster,species,Accipiter striatus chionogaster,group (monotypic),Accipiter chionogaster,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",taxonomy
555099,Accipiter erythronemius,species,Accipiter striatus erythronemius,group (monotypic),Accipiter erythronemius,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",taxonomy
2812612,Accipiter striatus fringilloides,subspecies,Accipiter striatus fringilloides,subspecies,Accipiter striatus fringilloides,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
1926643,Accipiter striatus perobscurus,subspecies,Accipiter striatus perobscurus,subspecies,Accipiter striatus perobscurus,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387761,Accipiter striatus striatus,subspecies,Accipiter striatus striatus,subspecies,Accipiter striatus striatus,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
1926642,Accipiter striatus velox,subspecies,Accipiter striatus velox,subspecies,Accipiter striatus velox,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2812613,Accipiter striatus venator,subspecies,Accipiter striatus venator,subspecies,Accipiter striatus venator,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2868209,Accipiter ventralis,species,Accipiter striatus ventralis,subspecies,Accipiter striatus ventralis,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",lump
387807,Accipiter striatus ventralis,subspecies,Accipiter striatus ventralis,group (monotypic),Accipiter striatus ventralis,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387808,Accipiter tachiro,species,Accipiter tachiro,species,Accipiter tachiro,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
993378,Accipiter toussenelii canescens,subspecies,Accipiter tachiro canescens,subspecies,Accipiter toussenelii canescens,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",taxonomy
993379,Accipiter toussenelii lopezi,subspecies,Accipiter tachiro lopezi,group (monotypic),Accipiter toussenelii lopezi,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",taxonomy
993377,Accipiter toussenelii macroscelides,subspecies,Accipiter tachiro macroscelides,group (monotypic),Accipiter toussenelii macroscelides,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",taxonomy
993374,Accipiter tachiro pembaensis,subspecies,Accipiter tachiro pembaensis,group (monotypic),Accipiter tachiro pembaensis,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
993375,Accipiter tachiro sparsimfasciatus,subspecies,Accipiter tachiro sparsimfasciatus,group (monotypic),Accipiter tachiro sparsimfasciatus,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387809,Accipiter toussenelii,species,Accipiter tachiro toussenelii,subspecies,Accipiter toussenelii,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",lump
993376,Accipiter toussenelii toussenelii,subspecies,Accipiter tachiro toussenelii,subspecies,Accipiter toussenelii toussenelii,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",taxonomy
993380,Accipiter tachiro unduliventer,subspecies,Accipiter tachiro unduliventer,subspecies,Accipiter tachiro unduliventer,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
2868208,Accipiter trinotatus,species,Accipiter trinotatus,species,Accipiter trinotatus,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
210844,Accipiter trivirgatus,species,Accipiter trivirgatus,species,Accipiter trivirgatus,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
1454375,Accipiter trivirgatus extimus,subspecies,Accipiter trivirgatus extimus,subspecies,Accipiter trivirgatus extimus,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
1454379,Accipiter trivirgatus palawanus,subspecies,Accipiter trivirgatus palawanus,subspecies,Accipiter trivirgatus palawanus,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
387810,Accipiter virgatus,species,Accipiter virgatus,species,Accipiter virgatus,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
1454380,Accipiter virgatus confusus,subspecies,Accipiter virgatus confusus,subspecies,Accipiter virgatus confusus,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
1454381,Accipiter virgatus quagga,subspecies,Accipiter virgatus quagga,subspecies,Accipiter virgatus quagga,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
8959,Aegypius monachus,species,Aegypius monachus,species,Aegypius monachus,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
52408,Aquila adalberti,species,Aquila adalberti,species,Aquila adalberti,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
321113,Aquila africana,species,Aquila africana,species,Aquila africana,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
8961,Aquila audax,species,Aquila audax,species,Aquila audax,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
433367,Aquila audax audax,subspecies,Aquila audax audax,subspecies,Aquila audax audax,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
433368,Aquila audax fleayi,subspecies,Aquila audax fleayi,subspecies,Aquila audax fleayi,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
8962,Aquila chrysaetos,species,Aquila chrysaetos,species,Aquila chrysaetos,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
216574,Aquila chrysaetos canadensis,subspecies,Aquila chrysaetos canadensis,subspecies,Aquila chrysaetos canadensis,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
223781,Aquila chrysaetos chrysaetos,subspecies,Aquila chrysaetos chrysaetos,subspecies,Aquila chrysaetos chrysaetos,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
507756,Aquila chrysaetos daphanes,subspecies,Aquila chrysaetos daphanea,subspecies,Aquila chrysaetos daphanea,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",spelling
507755,Aquila chrysaetos homeyeri,subspecies,Aquila chrysaetos homeyeri,subspecies,Aquila chrysaetos homeyeri,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
335091,Aquila chrysaetos japonica,subspecies,Aquila chrysaetos japonica,subspecies,Aquila chrysaetos japonica,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
252784,Aquila fasciata,species,Aquila fasciata,species,Aquila fasciata,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
321972,Aquila fasciata fasciata,subspecies,Aquila fasciata fasciata,subspecies,Aquila fasciata fasciata,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
433369,Aquila fasciata renschi,subspecies,Aquila fasciata renschi,subspecies,Aquila fasciata renschi,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
321090,Aquila gurneyi,species,Aquila gurneyi,species,Aquila gurneyi,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",
216575,Aquila heliaca heliaca,subspecies,Aquila heliaca,species,Aquila heliaca,,Accipitriformes,"Accipitridae (Hawks, Eagles, and Kites)",split
