Table S43. Sample information and classifications,,,,,,,,,,
Sample ID,Tip Name,AOS + Howard&Moore Name,AOS + Clements Name,IUCN Name,Howard&Moore Family,Tissue Source,Tissue Number,Voucher Source,Voucher Number,Locality
1,Smitho_capsis_S636743,Smithornis capensis,Smithornis capensis,Smithornis capensis,Calyptomenidae,USNM,636743,USNM,636743,"TANZANIA: Morogoro;Mahenge,Sali Forest Reserve"
3,Smitho_rufter_L45352,Smithornis rufolateralis,Smithornis rufolateralis,Smithornis rufolateralis,Calyptomenidae,LSUMZ-B,45352,LSUMZ,174577,GHANA: Brong-Ahafo Region;26 km SW Goaso
5,Smitho_sharp_UM233887,Smithornis sharpei,Smithornis sharpei,Smithornis sharpei,Calyptomenidae,UMMZ,233887,UMMZ,233887,"NIGERIA: Taraba; Baissa Region, Buru, ca 10km E Abong"
7,Pseutom_graueri_A764296,Pseudocalyptomena graueri,Pseudocalyptomena graueri,Pseudocalyptomena graueri,Eurylaimidae,AMNH,764296 (toepad),AMNH,764296,"CONGO: S. Kivu Dis.: Miki, west Itombwe, 6,600 ft."
8,Pseutom_graueri_F311050,Pseudocalyptomena graueri,Pseudocalyptomena graueri,Pseudocalyptomena graueri,Eurylaimidae,FMNH,311050 (toepad),FMNH,311050,"UGANDA: Impenetrable Forest, Rohiza"
9,Corydo_sumnus_L77291,Corydon sumatranus,Corydon sumatranus,Corydon sumatranus,Eurylaimidae,LSUMZ-B,77291,CUMV,44538,"MALAYSIA: Sabah, Tawau Hills Park, Tawau"
11,Cymrhy_macrhy_L61536,Cymbirhynchus macrorhynchos,Cymbirhynchus macrorhynchos,Cymbirhynchus macrorhynchos,Eurylaimidae,LSUMZ-B,61536,LSUMZ,181625,"MALAYSIA: Sabah;Padas Damit, Masikuan, 25 km W Beaufort"
13,Euryla_java_L79621,Eurylaimus javanicus,Eurylaimus javanicus,Eurylaimus javanicus,Eurylaimidae,LSUMZ-B,79621,LSUMZ,187831,"MALAYSIA: Sarawak; Kuching Province, Mt. Penrissen"
15,Euryla_ochmal_L50329,Eurylaimus ochromalus,Eurylaimus ochromalus,Eurylaimus ochromalus,Eurylaimidae,LSUMZ-B,50329,LSUMZ,176465,"MALAYSIA: Sabah;Tawai Forest Reserve, Ulu Rukutuku"
17,Euryla_steer_K19050,Eurylaimus steerii,Eurylaimus steerii,Sarcophanops steerii,Eurylaimidae,KU,19050,KU,113128,PHILIPPINES: Mindanao Island;Agusan del Sur State;Mount Magdiwata
19,Euryla_steer_K20930,Eurylaimus steerii,Eurylaimus samarensis,Sarcophanops samarensis,Eurylaimidae,KU,20930,KU,116660,"PHILIPPINES: Bohol State;Bohol Island,Rajah Sikatuna Protected Landscape"
21,Serilo_lunat_SB15168,Serilophus lunatus,Serilophus lunatus,Serilophus lunatus,Eurylaimidae,USNM,15168,USNM,631797,"MYANMAR: Kachin;Naung Mung Township, near Naung Mung Village"
23,Psaris_dalsia_K25407,Psarisomus dalhousiae,Psarisomus dalhousiae,Psarisomus dalhousiae,Eurylaimidae,KU,25407,KU,119691,VIETNAM: Dien Bien;Muong Nhe Nature Reserve
25,Calymen_virdis_L51137,Calyptomena viridis,Calyptomena viridis,Calyptomena viridis,Calyptomenidae,LSUMZ-B,51137,LSUMZ,176682,"MALAYSIA: Sabah; Kinabalu Park, Mt. Lucia, ca. 8 km N Tawau Hills"
27,Calymen_hosii_L78709,Calyptomena hosii,Calyptomena hosii,Calyptomena hosii,Calyptomenidae,LSUMZ-B,78709,LSUMZ,187630,MALAYSIA: Sarawak; Bario
29,Calymen_whiadi_L52625,Calyptomena whiteheadi,Calyptomena whiteheadi,Calyptomena whiteheadi,Calyptomenidae,LSUMZ-B,52625,LSUMZ,176684,MALAYSIA: Sabah;Tambunan Dist.; Mt. Trus Madi
31,Philep_casnea_F438676,Philepitta castanea,Philepitta castanea,Philepitta castanea,Philepittidae,FMNH,438676,FMNH,438676,"MADAGASCAR: Fianarantsoa; Mt Ambatobe,w slope, 1.2 km ENE Ampatramary, 9.5 km NE Midongy-S"
33,Philep_schgel_F431191,Philepitta schlegeli,Philepitta schlegeli,Philepitta schlegeli,Philepittidae,FMNH,431191,FMNH,431191,"MADAGASCAR: Toliara; Parc National de Bemaraha, Ankidrodroa, 2.5 km NE Bekopaka"
35,Neodre_corsca_F345711,Neodrepanis coruscans,Neodrepanis coruscans,Neodrepanis coruscans,Philepittidae,FMNH,345711,FMNH,345711,"MADAGASCAR: Toliara; Fivondronana, Marosohy Forest, along Enakara-Antseva Trail, 15.5 km WNW Ranoma"
37,Neodre_hypxan_F363809,Neodrepanis hypoxantha,Neodrepanis hypoxantha,Neodrepanis hypoxantha,Philepittidae,FMNH,363809,FMNH,363809,"MADAGASCAR: Fianarantsoa; Andringitra, 40 km S Ambalavao, Volotsangana River"
39,Sapayoa_ae_L2329,Sapayoa aenigma,Sapayoa aenigma,Sapayoa aenigma,Sapayoidae,LSUMZ-B,2329,LSUMZ,108443,PANAMA: Darién; Cana
41,Euchre_calnot_H4143,Euchrepomis callinota,Euchrepomis callinota,Euchrepomis callinota,Thamnophilidae,IAvH-CT,4143,MUA-AVP,619,"COLOMBIA: Antioquia, Amalfi, Guayabito, Finca Costa rica (Bosque Caracolí)"
