taxon,12S,16S,ACO1,AK,ALDOB,ATP6,BDNF,CALB1,CHD1Z,CLTC68,CMOS,CMYC,COX1,COX2,COX3,CRYAA,CYP19A1,CYTB,EEF2,EGR1,FGB45,FGB6,FGB67,GH1,HMGN2,HOXA3,IRBP,IRF1,IRF2,LDH,MB2,MC1R,MHCIIB,MUSK,NAT15,ND2,ND6,NTF3,ODC,PARK7,PCBD1,PEPCK,PER2,RAG1,RAG2,RAPGEF,RHO,SPIND,TGFB2,TPM1,VIM,total,ngenes,species,genus,family,order
Colibri_coruscans,NA,NA,NA,NA,2032,NA,687,NA,NA,1523,NA,1262,694,NA,NA,1147,503,912,1648,1185,NA,NA,1067,NA,NA,NA,NA,NA,580,NA,714,NA,NA,662,NA,1040,NA,726,614,NA,937,NA,NA,2619,1147,893,NA,NA,571,460,NA,24513,23,Colibri_coruscans,Colibri,Trochilidae,Apodiformes
Sylvia_nana,NA,NA,NA,NA,2090,NA,688,NA,NA,1497,606,1255,694,684,NA,1188,NA,1141,1823,1181,663,566,874,1311,NA,NA,NA,NA,605,NA,717,NA,NA,634,NA,NA,NA,728,NA,NA,965,NA,NA,2866,1151,NA,NA,NA,565,467,NA,24959,24,Sylvia_nana,Sylvia,Sylviidae,Passeriformes
Crax_alector,NA,NA,1128,NA,2051,1056,687,576,NA,NA,NA,1231,1490,NA,NA,1208,486,1002,1690,NA,640,610,1538,1328,NA,NA,NA,933,639,NA,709,859,NA,652,899,1076,NA,708,NA,723,992,NA,NA,NA,NA,736,NA,918,606,462,NA,27633,29,Crax_alector,Crax,Cracidae,Galliformes
Notiomystis_cincta,904,NA,NA,NA,NA,NA,NA,NA,NA,NA,622,NA,648,NA,NA,NA,NA,518,NA,1152,NA,NA,NA,NA,NA,NA,1073,NA,NA,NA,724,NA,NA,NA,NA,1041,NA,NA,679,NA,NA,621,NA,2872,NA,NA,NA,NA,NA,NA,NA,11643,11,Notiomystis_cincta,Notiomystis,Meliphagidae,Passeriformes
Coereba_flaveola,NA,506,1029,NA,NA,840,NA,NA,490,NA,579,NA,731,NA,NA,NA,NA,1143,NA,NA,NA,560,NA,NA,NA,NA,NA,NA,NA,NA,795,990,NA,600,NA,1035,501,NA,704,NA,NA,NA,NA,2884,NA,NA,863,NA,613,NA,NA,14863,17,Coereba_flaveola,Coereba,Thraupidae,Passeriformes
Fringilla_montifringilla,NA,NA,1017,NA,2055,684,688,NA,NA,1438,606,1262,1249,NA,NA,1155,NA,1140,1823,1200,602,559,1008,1358,NA,566,1074,990,594,NA,718,NA,NA,624,NA,1041,NA,728,679,NA,914,NA,NA,2873,1151,NA,NA,934,585,465,NA,31780,31,Fringilla_montifringilla,Fringilla,Fringillidae,Passeriformes
Acanthisitta_chloris,907,NA,977,NA,1487,NA,677,570,NA,1392,993,1252,779,NA,NA,1039,520,NA,NA,1196,NA,519,1324,1212,NA,NA,1073,NA,630,NA,719,NA,NA,623,NA,1041,NA,646,578,624,935,791,NA,2868,1395,NA,1040,NA,596,NA,496,28899,30,Acanthisitta_chloris,Acanthisitta,Acanthisittidae,Passeriformes
Mohoua_albicilla,908,NA,NA,NA,NA,NA,688,NA,NA,NA,622,498,648,NA,NA,NA,NA,999,NA,1152,NA,563,NA,NA,NA,NA,1074,NA,NA,NA,707,NA,NA,NA,NA,1041,NA,NA,607,NA,NA,621,NA,904,NA,NA,NA,NA,NA,466,NA,11498,15,Mohoua_albicilla,Mohoua,Acanthizidae,Passeriformes
Buteo_jamaicensis,1017,2639,1112,542,2063,842,688,NA,NA,1854,NA,1260,944,NA,NA,1201,522,1077,1890,1200,692,591,1523,1362,NA,1574,NA,967,608,NA,723,828,NA,653,836,1041,519,728,NA,661,1045,695,671,2870,1147,1359,NA,961,588,462,538,45345,40,Buteo_jamaicensis,Buteo,Accipitridae,Accipitriformes
Lophoceros_camurus,NA,NA,NA,NA,2104,NA,688,NA,NA,1585,NA,1247,651,NA,NA,1169,NA,NA,1732,1176,698,519,1490,1313,NA,NA,NA,NA,593,NA,721,NA,NA,641,NA,NA,NA,707,NA,NA,861,NA,NA,2859,1152,NA,978,998,548,461,NA,24891,23,Lophoceros_camurus,Lophoceros,Bucerotidae,Bucerotiformes
