taxon,nsites,ngenes,species,genus,family,order
Struthio_camelus,37236,35,Struthio_camelus,Struthio,Struthionidae,Struthioniformes
Nothocercus_nigrocapillus,6815,8,Nothocercus_nigrocapillus,Nothocercus,Tinamidae,Tinamiformes
Tinamus_guttatus,22655,23,Tinamus_guttatus,Tinamus,Tinamidae,Tinamiformes
Crypturellus_strigulosus,4885,5,Crypturellus_strigulosus,Crypturellus,Tinamidae,Tinamiformes
Eudromia_elegans,26746,24,Eudromia_elegans,Eudromia,Tinamidae,Tinamiformes
Nothoprocta_perdicaria,23642,23,Nothoprocta_perdicaria,Nothoprocta,Tinamidae,Tinamiformes
Dromaius_novaehollandiae,40070,37,Dromaius_novaehollandiae,Dromaius,Dromaiidae,Casuariiformes
Casuarius_bennetti,4895,5,Casuarius_bennetti,Casuarius,Casuariidae,Casuariiformes
Apteryx_australis,30325,27,Apteryx_australis,Apteryx,Apterygidae,Apterygiformes
Megapodius_eremita,32097,30,Megapodius_eremita,Megapodius,Megapodiidae,Galliformes
Leipoa_ocellata,14254,14,Leipoa_ocellata,Leipoa,Megapodiidae,Galliformes
Crax_alector,27633,29,Crax_alector,Crax,Cracidae,Galliformes
Penelope_obscura,13739,14,Penelope_obscura,Penelope,Cracidae,Galliformes
Numida_meleagris,34266,35,Numida_meleagris,Numida,Numididae,Galliformes
Guttera_pucherani,14003,13,Guttera_pucherani,Guttera,Numididae,Galliformes
Callipepla_californica,12148,11,Callipepla_californica,Callipepla,Odontophoridae,Galliformes
Rollulus_rouloul,28368,27,Rollulus_rouloul,Rollulus,Phasianidae,Galliformes
Gallus_varius,8566,9,Gallus_varius,Gallus,Phasianidae,Galliformes
Bonasa_umbellus,12171,11,Bonasa_umbellus,Bonasa,Phasianidae,Galliformes
Chauna_torquata,41295,39,Chauna_torquata,Chauna,Anhimidae,Anseriformes
Anhima_cornuta,12030,12,Anhima_cornuta,Anhima,Anhimidae,Anseriformes
Anseranas_semipalmata,37462,31,Anseranas_semipalmata,Anseranas,Anseranatidae,Anseriformes
Dendrocygna_arcuata,7673,4,Dendrocygna_arcuata,Dendrocygna,Anatidae,Anseriformes
Oxyura_jamaicensis,25842,27,Oxyura_jamaicensis,Oxyura,Anatidae,Anseriformes
Anser_erythropus,25342,25,Anser_erythropus,Anser,Anatidae,Anseriformes
Anas_acuta,8793,8,Anas_acuta,Anas,Anatidae,Anseriformes
Phoenicopterus_chilensis,31209,32,Phoenicopterus_chilensis,Phoenicopterus,Phoenicopteridae,Phoenicopteriformes
Tachybaptus_ruficollis,5915,5,Tachybaptus_ruficollis,Tachybaptus,Podicipedidae,Podicipediformes
Podiceps_auritus,29226,28,Podiceps_auritus,Podiceps,Podicipedidae,Podicipediformes
Columbina_passerina,26227,27,Columbina_passerina,Columbina,Columbidae,Columbiformes
Columba_livia,36920,33,Columba_livia,Columba,Columbidae,Columbiformes
Treron_vernans,20915,21,Treron_vernans,Treron,Columbidae,Columbiformes
Pterocles_namaqua,28774,28,Pterocles_namaqua,Pterocles,Pteroclidae,Ciconiiformes
Syrrhaptes_paradoxus,29769,29,Syrrhaptes_paradoxus,Syrrhaptes,Pteroclidae,Ciconiiformes
Mesitornis_unicolor,33736,32,Mesitornis_unicolor,Mesitornis,Mesitornithidae,Gruiformes
Monias_benschi,24249,25,Monias_benschi,Monias,Mesitornithidae,Gruiformes
Rhynochetos_jubatus,25337,24,Rhynochetos_jubatus,Rhynochetos,Rhynochetidae,Gruiformes
Eurypyga_helias,29365,29,Eurypyga_helias,Eurypyga,Eurypygidae,Gruiformes
Phaethon_lepturus,31213,30,Phaethon_lepturus,Phaethon,Phaethontidae,Pelecaniformes
Otis_tarda,7141,5,Otis_tarda,Otis,Otididae,Gruiformes
Ardeotis_kori,26728,25,Ardeotis_kori,Ardeotis,Otididae,Gruiformes
Corythaeola_cristata,27947,28,Corythaeola_cristata,Corythaeola,Musophagidae,Musophagiformes
Tauraco_erythrolophus,31506,29,Tauraco_erythrolophus,Tauraco,Musophagidae,Musophagiformes
Coccyzus_americanus,27124,26,Coccyzus_americanus,Coccyzus,Coccyzidae,Cuculiformes
Centropus_viridis,13474,16,Centropus_viridis,Centropus,Centropidae,Cuculiformes
Coua_cristata,26754,26,Coua_cristata,Coua,Cuculidae,Cuculiformes
Guira_guira,11442,12,Guira_guira,Guira,Crotophagidae,Cuculiformes
