"","Sequence","Species","TipLabel","Family2","Order2","Avibase.ID2","FamilyTotal.ClementFam","FamilyTotal.Freq","FamilyIncluded.Var1","FamilyIncluded.Freq"
"1",1,"Struthio camelus","Struthio_camelus","Struthionidae","Struthioniformes","AVIBASE-2247CB05","Struthionidae",2,"Struthionidae",1
"2",2,"Rhea americana","Rhea_americana","Rheidae","Rheiformes","AVIBASE-00986B24","Rheidae",2,"Rheidae",2
"3",3,"Rhea pennata","Rhea_pennata","Rheidae","Rheiformes","AVIBASE-590ADF92","Rheidae",2,"Rheidae",2
"4",4,"Dromaius novaehollandiae","Dromaius_novaehollandiae","Casuariidae","Casuariiformes","AVIBASE-FD2456D5","Casuariidae",4,"Casuariidae",2
"5",5,"Casuarius casuarius","Casuarius_casuarius","Casuariidae","Casuariiformes","AVIBASE-8B9D93D8","Casuariidae",4,"Casuariidae",2
"6",6,"Apteryx owenii","Apteryx_owenii","Apterygidae","Apterygiformes","AVIBASE-187706CF","Apterygidae",5,"Apterygidae",5
"7",7,"Apteryx haastii","Apteryx_haastii","Apterygidae","Apterygiformes","AVIBASE-0D8B9E40","Apterygidae",5,"Apterygidae",5
"8",8,"Apteryx australis","Apteryx_australis","Apterygidae","Apterygiformes","AVIBASE-6BA55EF0","Apterygidae",5,"Apterygidae",5
"9",9,"Apteryx mantelli","Apteryx_mantelli","Apterygidae","Apterygiformes","AVIBASE-DB55CB8C","Apterygidae",5,"Apterygidae",5
"10",10,"Apteryx rowi","Apteryx_rowi","Apterygidae","Apterygiformes","AVIBASE-D433BDAB","Apterygidae",5,"Apterygidae",5
"11",11,"Tinamotis ingoufi","Tinamotis_ingoufi","Tinamidae","Tinamiformes","AVIBASE-EC451D91","Tinamidae",46,"Tinamidae",31
"12",12,"Tinamotis pentlandii","Tinamotis_pentlandii","Tinamidae","Tinamiformes","AVIBASE-0A51B426","Tinamidae",46,"Tinamidae",31
"13",13,"Eudromia formosa","Eudromia_formosa","Tinamidae","Tinamiformes","AVIBASE-9337459C","Tinamidae",46,"Tinamidae",31
"14",14,"Eudromia elegans","Eudromia_elegans","Tinamidae","Tinamiformes","AVIBASE-4E215E82","Tinamidae",46,"Tinamidae",31
"15",15,"Nothura boraquira","Nothura_boraquira","Tinamidae","Tinamiformes","AVIBASE-458340C7","Tinamidae",46,"Tinamidae",31
